service_name;ед. изм;region_name;unit_price
ДП;м2;Вологодская область;600
ДП;м2;Московская область;1300
ДП;м2;Калининградская область;1000
ДП;м2;Ярославская область;1100
ДП;м2;Архангельская область;1200
ДП;м2;Другое;1200
ДКП;м2;Вологодская область;500
ДКП;м2;Московская область;1000
ДКП;м2;Калининградская область;800
ДКП;м2;Ярославская область;700
ДКП;м2;Архангельская область;1100
ДКП;м2;Другое;1000
Навигация_стенды;шт;Вологодская область;3800
Навигация_стенды;шт;Московская область;3600
Навигация_стенды;шт;Калининградская область;3300
Навигация_стенды;шт;Ярославская область;3300
Навигация_стенды;шт;Архангельская область;3700
Навигация_стенды;шт;Другое;1400
Контент-система;шт;Вологодская область;1600
Контент-система;шт;Московская область;1500
Контент-система;шт;Калининградская область;1450
Контент-система;шт;Ярославская область;1500
Контент-система;шт;Архангельская область;1500
Контент-система;шт;Другое;15000
Навигация;шт;Вологодская область;3800
Навигация;шт;Московская область;3600
Навигация;шт;Калининградская область;3300
Навигация;шт;Ярославская область;3300
Навигация;шт;Архангельская область;3700
Навигация;шт;Другое;1400